Freq [GHz],dB(AxialRatioValue) [] - eea='1.5mm' Phi='0deg' Theta='0deg',dB(AxialRatioValue) [] - eea='2mm' Phi='0deg' Theta='0deg',dB(AxialRatioValue) [] - eea='2.5mm' Phi='0deg' Theta='0deg',dB(AxialRatioValue) [] - eea='3mm' Phi='0deg' Theta='0deg',dB(AxialRatioValue) [] - eea='3.5mm' Phi='0deg' Theta='0deg',dB(AxialRatioValue) [] - eea='4mm' Phi='0deg' Theta='0deg'
2,5.921015081,5.962167991,5.761430032,5.735892604,5.668431882,5.645385923
2.1,4.624144726,4.643487346,4.482751053,4.464063649,4.408051006,4.378371965
2.2,4.006699222,4.002777463,3.888281916,3.873549616,3.836172802,3.801113351
2.3,3.758270827,3.73855157,3.660819075,3.651945598,3.632539198,3.595437258
2.4,3.585552966,3.55991344,3.501780861,3.502391002,3.493404183,3.460198479
2.5,3.329156695,3.304479425,3.253061351,3.266018531,3.259393805,3.236632921
2.6,2.978215992,2.957644763,2.907973063,2.934771624,2.924789905,2.915967174
2.7,2.582863091,2.566329835,2.520799431,2.560773141,2.54459172,2.548029257
2.8,2.169078786,2.154399068,2.120831683,2.169350177,2.148147668,2.159481814
2.9,1.726020304,1.711449174,1.701310891,1.748459212,1.729185064,1.747603269
3,1.264831631,1.252328559,1.278076915,1.310144294,1.307925822,1.341254646
3.1,0.853335218,0.850541393,0.916468729,0.922560303,0.967953514,1.026083082
3.2,0.603003155,0.620036324,0.708654486,0.692891361,0.826950786,0.895350574
3.3,0.629300803,0.661246217,0.743280274,0.73728473,0.931262537,0.975600993
3.4,0.840406955,0.868806293,0.94950249,0.987890521,1.161280057,1.176738531
3.5,1.047612766,1.048394035,1.139649162,1.245782028,1.344387933,1.347831314
3.6,1.192415151,1.14884172,1.250703984,1.418313245,1.410351228,1.412472688
3.7,1.36395588,1.309183826,1.419943145,1.573799482,1.491185161,1.476326142
3.8,1.644136908,1.631557056,1.758271594,1.808640691,1.746248662,1.696737689
3.9,1.989145381,2.031040713,2.187145026,2.111594333,2.134935487,2.065720686
4,2.268321765,2.347661128,2.542692408,2.372733033,2.495146394,2.433368952
4.1,2.293754745,2.392033027,2.630092492,2.419481591,2.633847382,2.593277365
4.2,1.822632191,1.937932404,2.211150911,2.031677056,2.32673417,2.304587895
4.3,0.856841568,1.024438389,1.152550225,1.177658556,1.50126,1.575314315
4.4,1.902841204,1.953901536,1.572313657,1.81121553,1.790091492,2.129034537
4.5,3.905123074,3.911003198,3.613231531,3.707010275,3.630958044,3.999152439
4.6,5.819095632,5.759973795,5.620522464,5.667656894,5.636578585,6.050805715
4.7,8.036652571,7.929291021,7.944117531,8.074866734,8.099586807,8.565557146
4.8,10.51700398,10.47275067,10.55431974,10.80577749,10.90658282,11.38818307
4.9,12.64550691,12.73118859,12.78916198,13.09049736,13.24709811,13.84303813
5,14.26360105,14.35651694,14.43547454,14.67519779,14.84996187,15.71290701
